serving_size,amount
112.0,15.18
112.0,15.18
112.0,15.18
112.0,1.79
112.0,15.18
112.0,20.54
112.0,11.61
112.0,12.5
151.0,9.93
113.0,15.04
114.0,3.51
114.0,3.51
113.0,15.04
112.0,7.14
112.0,19.64
112.0,2.68
151.0,19.87
112.0,16.96
140.0,12.86
112.0,14.29
112.0,19.64
112.0,18.75
112.0,15.18
170.0,11.76
113.0,11.5
112.0,16.96
113.0,7.96
113.0,7.08
112.0,11.61
112.0,15.18
151.0,9.93
113.0,20.35
112.0,20.54
151.0,15.23
142.0,7.75
112.0,20.54
112.0,3.12
113.0,15.04
113.0,20.35
112.0,9.82
151.0,25.17
113.0,17.7
112.0,15.18
112.0,7.14
112.0,9.82
112.0,15.18
112.0,3.57
112.0,10.71
112.0,4.46
112.0,16.07
112.0,15.18
112.0,3.57
112.0,3.57
136.0,19.85
136.0,19.85
112.0,17.86
112.0,18.75
151.0,18.54
112.0,18.75
112.0,14.29
112.0,7.14
112.0,3.57
112.0,20.54
149.0,26.85
112.0,18.75
112.0,22.32
140.0,7.86
113.0,15.04
112.0,19.64
112.0,19.64
112.0,15.18
113.0,20.35
112.0,7.14
112.0,9.82
112.0,19.64
112.0,7.14
112.0,19.64
112.0,4.46
112.0,7.14
112.0,18.75
112.0,18.75
112.0,17.86
112.0,10.71
112.0,4.02
127.0,6.06
112.0,5.36
112.0,22.32
140.0,9.29
140.0,20.0
113.0,1.33
113.0,9.73
112.0,4.02
113.0,11.5
113.0,4.42
113.0,2.21
142.0,1.41
112.0,8.93
112.0,8.93
140.0,15.0
112.0,5.36
120.33000183105467,9.14
112.0,26.79
112.0,19.64
113.0,9.73
113.0,0.44
113.0,16.81
112.0,8.04
112.0,4.46
112.0,9.82
112.0,15.18
112.0,26.79
112.0,26.79
112.0,14.29
151.0,13.91
112.0,9.82
112.0,7.14
112.0,12.5
112.0,19.64
112.0,15.18
112.0,7.14
151.0,17.88
112.0,8.93
112.0,6.25
112.0,14.29
112.0,12.5
112.0,13.39
112.0,5.36
135.0,20.0
113.0,9.73
113.0,15.04
112.0,32.14
112.0,32.14
112.0,15.18
112.0,19.64
114.0,7.89
113.0,10.62
113.0,7.08
112.0,17.86
112.0,2.68
112.0,2.23
112.0,4.02
112.0,6.25
112.0,15.18
112.0,7.14
112.0,7.14
112.0,7.14
112.0,26.79
112.0,9.82
112.0,15.18
113.0,15.04
112.0,15.18
112.0,7.14
112.0,5.36
112.0,19.64
151.0,17.88
151.0,25.17
113.0,20.35
113.0,9.73
151.0,19.87
151.0,20.53
112.0,19.64
112.0,10.71
142.0,11.27
113.0,3.54
112.0,2.23
112.0,2.23
140.0,20.0
112.0,8.93
112.0,15.18
112.0,19.64
112.0,22.32
113.0,18.58
112.0,15.18
112.0,15.18
112.0,7.14
113.0,15.04
113.0,12.39
112.0,15.18
112.0,15.18
112.0,8.04
112.0,9.82
112.0,25.0
151.0,15.89
150.0,20.0
112.0,19.64
151.0,19.21
112.0,7.14
112.0,15.18
113.0,15.93
112.0,8.93
112.0,2.68
112.0,14.29
112.0,15.18
151.0,19.87
112.0,19.64
151.0,19.87
112.0,7.14
112.0,3.57
140.0,5.71
113.0,10.62
112.0,6.25
113.0,9.73
112.0,19.64
112.0,13.39
112.0,15.18
112.0,9.82
112.0,19.64
112.0,16.07
112.0,9.82
150.0,15.33
112.0,19.64
112.0,15.18
112.0,7.14
112.0,26.79
151.0,7.28
112.0,17.86
151.0,17.88
145.0,12.41
112.0,7.14
150.0,15.33
112.0,27.68
112.0,7.14
112.0,20.54
